match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1307300,2022-06-24,"R Premadasa Stadium, Colombo",Sri Lanka,Australia,Australia,Sri Lanka,bat,ODI,2022
1307479,2022-07-31,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,New Zealand,New Zealand,Scotland,bat,ODI,2022
1308233,2022-11-04,"Gaddafi Stadium, Lahore",Pakistan,Ireland,Pakistan,Pakistan,bat,ODI,2022
1308234,2022-11-06,"Gaddafi Stadium, Lahore",Ireland,Pakistan,Pakistan,Ireland,bat,ODI,2022
1308235,2022-11-09,"Gaddafi Stadium, Lahore",Ireland,Pakistan,Pakistan,Ireland,bat,ODI,2022
1308244,2022-04-09,Dubai International Cricket Stadium,Scotland,Papua New Guinea,Scotland,Papua New Guinea,field,ODI,2022
1308245,2022-04-10,Dubai International Cricket Stadium,Scotland,Oman,Scotland,Scotland,bat,ODI,2022
1308246,2022-04-12,Dubai International Cricket Stadium,Papua New Guinea,Oman,Oman,Papua New Guinea,bat,ODI,2022
1308247,2022-04-13,Dubai International Cricket Stadium,Scotland,Papua New Guinea,Scotland,Scotland,bat,ODI,2022
1308248,2022-04-15,Dubai International Cricket Stadium,Oman,Scotland,Scotland,Oman,bat,ODI,2022
1308249,2022-04-16,Dubai International Cricket Stadium,Oman,Papua New Guinea,Oman,Oman,bat,ODI,2022
1310984,2022-06-01,"Southend Club Cricket Stadium, Karachi",Sri Lanka,Pakistan,Pakistan,Sri Lanka,bat,ODI,2022
1310985,2022-06-03,"Southend Club Cricket Stadium, Karachi",Pakistan,Sri Lanka,Pakistan,Pakistan,bat,ODI,2022
1310986,2022-06-05,"Southend Club Cricket Stadium, Karachi",Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,bat,ODI,2022
1311737,2022-08-16,"Hazelaarweg, Rotterdam",Pakistan,Netherlands,Pakistan,Pakistan,bat,ODI,2022
1311738,2022-08-18,"Hazelaarweg, Rotterdam",Netherlands,Pakistan,Pakistan,Netherlands,bat,ODI,2022
1311739,2022-08-21,"Hazelaarweg, Rotterdam",Pakistan,Netherlands,Pakistan,Pakistan,bat,ODI,2022
1312798,2022-05-28,"Choice Moosa Stadium, Pearland",United States of America,Scotland,United States of America,United States of America,bat,ODI,2022
1312799,2022-05-29,"Choice Moosa Stadium, Pearland",Scotland,United States of America,Scotland,Scotland,bat,ODI,2022
1312800,2022-05-31,"Moosa Cricket Stadium, Pearland",United Arab Emirates,Scotland,Scotland,United Arab Emirates,bat,ODI,2022
1312801,2022-06-01,"Moosa Cricket Stadium, Pearland",United Arab Emirates,United States of America,United States of America,United Arab Emirates,bat,ODI,2022
1312802,2022-06-03,"Moosa Cricket Stadium, Pearland",Scotland,United Arab Emirates,United Arab Emirates,Scotland,bat,ODI,2022
1312803,2022-06-04,"Moosa Cricket Stadium, Pearland",United States of America,United Arab Emirates,United Arab Emirates,United Arab Emirates,field,ODI,2022
1312804,2022-06-08,"Moosa Cricket Stadium, Pearland",United States of America,Oman,United States of America,Oman,field,ODI,2022
1312805,2022-06-09,"Moosa Cricket Stadium, Pearland",Oman,Nepal,Oman,Oman,bat,ODI,2022
1312806,2022-06-11,"Moosa Cricket Stadium, Pearland",Nepal,United States of America,,Nepal,bat,ODI,2022
1312807,2022-06-12,"Moosa Cricket Stadium, Pearland",Oman,United States of America,Oman,Oman,bat,ODI,2022
1312808,2022-06-14,"Moosa Cricket Stadium, Pearland",Oman,Nepal,Nepal,Oman,bat,ODI,2022
1312809,2022-06-15,"Moosa Cricket Stadium, Pearland",United States of America,Nepal,United States of America,Nepal,field,ODI,2022
1315038,2022-06-08,Multan Cricket Stadium,West Indies,Pakistan,Pakistan,West Indies,bat,ODI,2022
